Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Road,Road Width,Road Type,Posted,Amenities,Area (Sq. Meter),Build Area (Sq. Meter)
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3.0,3,South West,2075.0,922,15 Feet / Blacktopped,15 Feet , Blacktopped,3 weeks ago,"['Parking', 'Backyard']",445.1448,222.5724
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3.0,1,North West,2075.0,592,14 Feet / Paved,14 Feet , Paved,1 month ago,"['Parking', 'Balcony', 'Internet']",79490.15,2050.8457
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1.0,1,South,2074.0,766,12 Feet / Gravelled,12 Feet , Gravelled,1 month ago,['Parking'],158.98029,
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3.0,3,South East,2075.0,872,20 Feet / Blacktopped,20 Feet , Blacktopped,1 month ago,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']",254.36847,
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3.0,1,East,2076.0,1.1K,13 Feet / Paved,13 Feet , Paved,1 month ago,['Parking'],127.184235,
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3.0,1,East,2076.0,1.6K,13 Feet / Gravelled,13 Feet , Gravelled,1 month ago,['Parking'],250.83815,127.184235
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,East,2056.0,2.8K,20 Feet / Blacktopped,20 Feet , Blacktopped,2 months ago,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",3052.4216,
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,18500000,4,4,,3,South,,404,13 Feet,13 Feet,,1 month ago,['Parking'],190.77635,
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,62000000,7,4,,3,East,,164,0 Feet,0 Feet,,1 month ago,[],317.96057,
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,10500000,0,0,,0,North,,460,10 Feet,10 Feet,,1 month ago,[],2034.9478,
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3.0,1,East,2076.0,3.2K,10 Feet / Gravelled,10 Feet , Gravelled,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",1542.1088,195.09634
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000,0,0,,0,East,,720,20 Feet / Blacktopped,20 Feet , Blacktopped,1 month ago,[],1542.1088,
"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,145000000,95,40,5.0,7,East,2073.0,169,20 Feet / Blacktopped,20 Feet , Blacktopped,1 month ago,"['Parking', 'Garage']",667.7172,
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000,5,6,3.0,4,South,2071.0,253,20 Feet / Gravelled,20 Feet , Gravelled,1 month ago,"['Parking', 'Garden']",604.1251,
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,East,2075.0,510,13 Feet / Blacktopped,13 Feet , Blacktopped,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",2034.9478,195.09634
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000,6,6,3.0,3,South East,,178,32 Feet,32 Feet,,1 month ago,"['Parking', 'Garage']",193.95595,
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,102500000,6,6,3.0,4,East,2070.0,208,13 Feet / Blacktopped,13 Feet , Blacktopped,1 month ago,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Air Condition', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well']",604.1251,
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076.0,981,13 Feet / Gravelled,13 Feet , Gravelled,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",85849.36,2050.8457
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3.0,2,East,2076.0,318,16 Feet / Blacktopped,16 Feet , Blacktopped,1 month ago,"['Parking', 'Garage']",206.67438,
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076.0,596,13 Feet / Gravelled,13 Feet , Gravelled,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",1526.2108,
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,East,2076.0,466,13 Feet / Gravelled,13 Feet , Gravelled,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",1542.1088,112.0
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,17500000,5,3,3.0,1,South,,157,13 Feet,13 Feet,,1 month ago,"['Parking', 'Balcony', 'Water Tank', 'Water Well', 'Drainage', 'Internet', 'Wifi', 'TV Cable']",111.2862,111.2862
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000,5,6,3.0,3,East,2074.0,566,15 Feet / Blacktopped,15 Feet , Blacktopped,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",317.96057,
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4.0,4,East,2076.0,96,15 Feet / Blacktopped,15 Feet , Blacktopped,1 month ago,"['Parking', 'Garage']",667.7172,
"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,5,5,3.0,4,South,2070.0,345,15 Feet / Gravelled,15 Feet , Gravelled,1 month ago,"['Parking', 'Garage', 'Balcony', 'Backyard', 'Deck', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'CCTV', 'Kids Playground', 'Store Room']",2034.9478,
"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,27500000,6,5,3.0,1,East,2076.0,971,16 Feet / Blacktopped,16 Feet , Blacktopped,1 month ago,['Parking'],127.184235,
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,40000000,7,7,4.0,2,East,2074.0,151,15 Feet / Blacktopped,15 Feet , Blacktopped,1 month ago,['Parking'],222.5724,
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,26500000,6,6,3.0,2,West,2075.0,282,14 Feet / Blacktopped,14 Feet , Blacktopped,1 month ago,['Parking'],158.98029,
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,50,0,2,3.5,2,West,2076.0,1.1K,20 Feet / Blacktopped,20 Feet , Blacktopped,4 months ago,"['Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",232.25754,
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3.0,1,North East,2070.0,66,18 Feet / Blacktopped,18 Feet , Blacktopped,1 month ago,['Parking'],98.56778,
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,60000000,6,6,3.0,4,South East,2070.0,157,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,1 month ago,['Parking'],349.75662,
"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,250000000,6,5,3.0,10,East,,339,15 Feet,15 Feet,,1 month ago,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Solar Water']",953.8817,
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,40000000,9,6,4.0,3,East,2069.0,71,13 Feet / Paved,13 Feet , Paved,1 month ago,['Parking'],286.16452,
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,30000000,6,5,3.0,1,East,2076.0,136,15 Feet / Blacktopped,15 Feet , Blacktopped,1 month ago,"['Parking', 'Garage', 'Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",111.2862,
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,65000000,6,6,3.0,4,East,2070.0,108,14 Feet / Gravelled,14 Feet , Gravelled,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Microwave', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",381.5527,
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,33000000,5,6,3.0,2,North,2070.0,150,13 Feet / Blacktopped,13 Feet , Blacktopped,1 month ago,"['Parking', 'Garden']",158.98029,
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,30500000,5,5,2.0,1,West,2070.0,112,13 Feet / Blacktopped,13 Feet , Blacktopped,1 month ago,['Parking'],127.184235,
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,14000000,2,2,1.0,1,South West,2076.0,1.7K,13 Feet / Gravelled,13 Feet , Gravelled,1 month ago,['Parking'],98.56778,
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3.0,1,South East,2076.0,100,13 Feet / Blacktopped,13 Feet , Blacktopped,1 month ago,['Parking'],127.184235,
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,41000000,10,5,4.0,3,South East,2075.0,67,26 Feet / Blacktopped,26 Feet , Blacktopped,1 month ago,['Parking'],127.184235,
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,27000000,6,6,3.0,2,East,2076.0,161,14 Feet / Gravelled,14 Feet , Gravelled,1 month ago,"['Parking', 'Garage']",143.08226,
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,22000000,5,5,3.0,1,East,2076.0,139,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,1 month ago,['Parking'],98.56778,
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,37000000,5,5,3.0,3,South East,2071.0,168,15 Feet / Blacktopped,15 Feet , Blacktopped,1 month ago,"['Parking', 'Garage', 'Frontyard', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",254.36847,
"House For Sale In Baluwatar, Kathmandu","Chandol, Height, Baluwatar, Kathmandu",Kathmandu,46000000,4,3,2.5,1,South West,2074.0,5.6K,13 Feet / Concrete,13 Feet , Concrete,1 month ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",3076.2686,
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,22500000,5,3,3.0,1,East,,274,13 Feet,13 Feet,,1 month ago,"['Parking', 'Balcony', 'Water Well', 'Store Room', 'Frontyard', 'Garden', 'Water Supply', 'Solar Water', 'TV Cable']",127.184235,127.184235
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,29000000,3,3,2.0,2,North,2070.0,1.4K,20 Feet / Blacktopped,20 Feet , Blacktopped,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet']",204.38664,143.08226
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,31000000,3,4,3.0,1,East,2018.0,209,6 Meter / Blacktopped,6 Meter , Blacktopped,1 month ago,"['Fencing', 'Modular Kitchen', 'Frontyard', 'Backyard']",1526.2108,185.80603
"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu","Commercial land sale in Satungal, Satungal, Kathmandu",Kathmandu,42500000,0,0,,0,West,,136,29 Feet,29 Feet,,1 month ago,[],2553.6235,
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu","pasikot/Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,37500000,5,5,3.0,2,South East,,162,0 Feet,0 Feet,,1 month ago,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Solar Water', 'Internet', 'Store Room', 'Wifi']",158.98029,95.388176
"House For Sale In Tarkeshwor, Kathmandu","Nagpokhari road, Tarkeshwor, Kathmandu",Kathmandu,13000000,2,1,1.0,1,West,2076.0,588,0 Feet,0 Feet,,1 month ago,['Parking'],98.56778,
"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Muhanpokhari Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,105000000,4,3,,4,South,,437,20 Feet,20 Feet,,1 month ago,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",127.184235,
"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu","Shree Marga, Baluwatar, Kathmandu",Kathmandu,80000000,4,5,,4,West,2076.0,726,13 Feet / Gravelled,13 Feet , Gravelled,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",4608.449,371.61206
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur","Nakkhudol Bhaisepati, Nakhundol, Lalitpur",Lalitpur,25000000,3,4,2.0,2,East,2076.0,688,13 Feet / Gravelled,13 Feet , Gravelled,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Fencing', 'Water Tank', 'Water Supply', 'Drainage']",2050.8457,
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2.0,4,South,2017.0,374,20 Feet / Paved,20 Feet , Paved,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Store Room']",222.5724,204.38664
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000,5,3,3.0,1,South West,2076.0,173,12 Feet / Blacktopped,12 Feet , Blacktopped,1 month ago,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']",1542.1088,1538.1398
"Bungalow At Aananda Colony, Aastha Chowk : House For Sale In Bharatpur, Chitwan","Aananda Colony, Bharatpur, Chitwan",Chitwan,16000000,3,4,2.0,1,West,,599,6 Meter,6 Meter,,1 month ago,"['Air Condition', 'Balcony', 'Deck', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Internet', 'Parking']",29390.48,194.695
"House Sale In Raniban : House For Sale In Raniban, Kathmandu","Raniban, Raniban, Kathmandu",Kathmandu,120000000,0,0,,0,West,,205,20 Feet,20 Feet,,1 month ago,[],7662.85,
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,7700000,4,2,2.0,1,East,2017.0,677,16 Feet / Gravelled,16 Feet , Gravelled,1 month ago,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']",190.77635,127.184235
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,West,2067.0,5.1K,10 Feet / Gravelled,10 Feet , Gravelled,1 month ago,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",2044.8867,
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,1,West,2076.0,6.2K,20 Feet / Gravelled,20 Feet , Gravelled,5 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",111286.2,1526.2108
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,33500000,0,4,3.0,2,South East,,188,18 Feet / Blacktopped,18 Feet , Blacktopped,1 month ago,"['Parking', 'Balcony', 'Microwave', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'TV Cable', 'Garage', 'Garden', 'Washing Machine', 'Water Tank', 'Kids Playground', 'CCTV', 'Wifi']",2034.9478,
"House Sale In Mhepi : House For Sale In Mhepi, Kathmandu","Mhepi, Mhepi, Kathmandu",Kathmandu,37000000,0,0,,0,North East,,86,13 Feet / Blacktopped,13 Feet , Blacktopped,1 month ago,[],2547.6646,
"House Sale In Chaysingdol : House For Sale In Pasikot, Kathmandu","Chyasingdol, Pasikot, Kathmandu",Kathmandu,36000000,0,0,,0,East,,134,20 Feet,20 Feet,,1 month ago,[],3577.0564,
"House On Sell @Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu","Harihar Marg, Dhapasi, Dhapasi, Kathmandu",Kathmandu,40000000,8,4,3.0,5,South,2068.0,86,12 Feet / Concrete,12 Feet , Concrete,1 month ago,"['Parking', 'Water Supply', 'Solar Water', 'Water Tank', 'Store Room', 'Garden', 'Lawn', 'Balcony', 'TV Cable', 'Internet', 'Wifi', 'Modular Kitchen']",4093.7424,2034.9478
"One And Half Storied : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.0,1,West,2076.0,3.2K,20 Feet / Gravelled,20 Feet , Gravelled,1 month ago,"['Lawn', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",1526.2108,
"Modern Designed : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,19500000,5,3,2.5,1,East,2076.0,710,20 Feet / Gravelled,20 Feet , Gravelled,1 month ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",1534.1598,176.51573
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,22000000,5,3,2.5,1,West,2076.0,157,20 Feet / Gravelled,20 Feet , Gravelled,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Parking', 'Store Room']",1542.1088,195.09634
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,21500000,4,3,2.5,1,East,2076.0,161,20 Feet / Gravelled,20 Feet , Gravelled,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Parking', 'Store Room']",2034.9478,232.25754
